Submitter,Maximum review status,Total submissions,Submissions with interpretations,Total Genes,Last updated,submitters_id,country_name,alpha_3
Hereditary Cancer Genetics group; Vall d'Hebron Institute of Oncology,Assertion criteria,34,34,3,"Mar 01, 2019",506912,Spain,ESP
Cancer Genomic Medicine Translational Research Lab; Cleveland Clinic Genomic Medicine Institute,-,34,34,2,"May 27, 2017",19864,United States,USA
"Department of Cardiology, Chinese Academy of Medical Sciences; Fuwai Hospital",-,34,34,8,"Jan 21, 2020",507404,China,CHN
"Tartaglia Lab, Genetics and Rare Diseases Research Division; Bambino Gesu' Children's Hospital",Assertion criteria,34,34,10,"Aug 14, 2020",506429,Italy,ITA
Molecular Diagnostics Laboratory; Seoul National University Hospital,-,34,34,20,"Nov 14, 2019",320228,"Korea, Republic of",KOR
Department of Molecular Bıology and Genetics; Istanbul Technical University,Assertion criteria,33,33,34,"Aug 10, 2020",507375,Turkey,TUR
Breast Center; Key Laboratory of Carcinogenesis and Translational Research,Assertion criteria,33,33,1,"Aug 14, 2020",507701,China,CHN
"Cancer Variant Interpretation Group UK; Institute of Cancer Research, London",Assertion criteria,33,33,9,"Aug 10, 2020",506655,United Kingdom,GBR
Breda Genetics srl,Assertion criteria,33,33,30,"Sep 01, 2020",506812,Italy,ITA
Herman Laboratory; Nationwide Children's Hospital,Assertion criteria,33,33,2,"May 24, 2017",506136,United States,USA
Willoughby Group,-,33,33,1,"Nov 13, 2012",500210,United Kingdom,GBR
"Department of Genetic, Henri Mondor Hospital; Assistance Publique des Hôpitaux de Paris",Assertion criteria,33,33,11,"Feb 27, 2018",506520,France,FRA
Raymond Lab; University of Cambridge,Assertion criteria,33,33,32,"Mar 12, 2019",506644,United Kingdom,GBR
ANO5 @LOVD,-,32,0,1,"Mar 30, 2011",504785,Netherlands,NLD
TPM1 homepage - Leiden Muscular Dystrophy pages; Leiden University Medical Center,-,32,0,3,"Apr 15, 2012",500025,Netherlands,NLD
Translational Genomics Laboratory; University of Maryland School of Medicine,Assertion criteria,32,32,9,"Oct 05, 2018",505867,United States,USA
Department of Immunology and Histocompatibility; University of Thessaly,Assertion criteria,32,32,1,"Feb 18, 2020",506737,Greece,GRC
Biology Pathology Center; Lille University Hospital,Assertion criteria,32,32,12,"Mar 09, 2020",505770,France,FRA
Oxford Haemato-Oncology Service; Oxford University Hospitals NHS Foundation Trust,-,32,32,1649,"Feb 05, 2018",506072,United Kingdom,GBR
"LISIN; Facultad de Ciencias Exactas, Universidad Nacional de La Plata",Assertion criteria,32,32,2,"Jul 07, 2015",500267,Argentina,ARG
Department of Medical Genetics; University Hospital of North Norway,-,32,32,4,"Jun 09, 2020",505900,Norway,NOR
Laboratory of Gastroenterology and Hepatology; Radboud University Medical Center,-,31,19,12,"Sep 06, 2018",225897,Netherlands,NLD
Rajkovic Lab; University of Pittsburgh,-,31,2,2,"Oct 30, 2014",500303,United States,USA
Dept. of Medical Genetics; Telemark Hospital Trust,-,30,30,22,"Jun 20, 2018",506543,Norway,NOR
"Reutter Lab, Institute of Human Genetics; University Hospital Bonn",Assertion criteria,30,30,105,"Mar 25, 2019",505890,Germany,DEU
GenePathDx; Causeway Health Care Private Ltd,Assertion criteria,30,30,27,"Oct 11, 2017",505942,India,IND
Institut de Recherche Interdisciplinaire en Biologie Humaine et Moleculaire; Universite Libre de Bruxelles,Assertion criteria,30,30,14,"Sep 13, 2019",507190,Belgium,BEL
"Department of Pediatrics, Division of Medical Genetics; Faculty of Medicine Ramathibodi Hospital, Mahidol University",-,30,30,13,"Jul 13, 2020",507098,Thailand,THA
Clinical Genetics Research Group; University of Calgary,Assertion criteria,30,30,5,"Jan 17, 2019",505370,Canada,CAN
Medical Genetics Lab; Policlinico S. Orsola.Malpighi,Assertion criteria,30,30,153,"Jul 02, 2020",506592,Italy,ITA
SIB Swiss Institute of Bioinformatics; Copenhagen University,-,29,29,724,"Oct 12, 2018",506212,Denmark,DNK
ISCA site 3,-,29,29,898,"Jun 21, 2014",505283,United States,USA
Genome Medicine; Institute for Basic Research in Developmental Disabilities,Assertion criteria,29,29,3,"May 07, 2020",507084,United States,USA
Chan Lab; Boston Children's Hospital,Assertion criteria,29,29,9,"Jan 23, 2015",505344,United States,USA
Undiagnosed Diseases Program Translational Research Laboratory; National Institutes of Health,Assertion criteria,28,28,18,"May 07, 2019",505589,United States,USA
Ocular Genomics Institute; Massachusetts Eye and Ear,Assertion criteria,28,28,4,"Sep 18, 2019",506568,United States,USA
"Centro Nacional de Genética Medica ""Dr. Eduardo E. Castilla""; Administración Nacional de Laboratorios e Institutos de Salud",Assertion criteria,28,28,269,"Jun 18, 2020",506261,Argentina,ARG
MAGI'S LAB - Medical Genetics Laboratory; MAGI GROUP,Assertion criteria,28,28,13,"Aug 05, 2020",506319,Italy,ITA
"SBielas Lab, Department of Human Genetics; University of Michigan",-,28,28,10,"Mar 05, 2019",506290,United States,USA
Institute for Medical Genetics and Human Genetics; Charité - Universitätsmedizin Berlin,Assertion criteria,28,28,17,"Aug 31, 2020",505735,Germany,DEU
Centre for molecular medicine; Karolinska Institutet,-,28,0,4,"May 22, 2014",504827,Sweden,SWE
Santos-Cortez Lab; University of Colorado School of Medicine,Assertion criteria,27,27,11,"Apr 20, 2020",506163,United States,USA
MVZ Dr. Eberhard & Partner Dortmund,Assertion criteria,27,27,21,"Mar 06, 2020",320136,Germany,DEU
Genetics Department; University Hospital of Toulouse,Assertion criteria,27,27,15,"Jun 19, 2020",506224,France,FRA
Human Genetics Group at Institute of Prion Diseases London; University College London,Assertion criteria,26,26,6,"Sep 12, 2018",506718,United Kingdom,GBR
Liquid Biopsy and Precision Medicine Group; Pfizer-University of Granada-Junta de Andalucía Centre for Genomics and Oncological Research,Assertion criteria,26,26,12,"Aug 06, 2019",507109,Spain,ESP
Rui Chen Lab; Baylor College of Medicine,Assertion criteria,26,26,18,"May 15, 2017",505773,United States,USA
"Division of Molecular Genetics and Division of Molecular Medicine; Faculty of Medicine Siriraj Hospital, Mahidol University",-,26,26,6,"Apr 16, 2014",504840,Thailand,THA
Medical Genetics Unit; Ain Shams University Pediatrics Hospital,-,26,0,1,"Feb 25, 2014",504820,Egypt,EGY
Demyelinating Disease Laboratories; VA medical center and University of Tennessee,-,26,26,1,"Jun 09, 2014",504916,United States,USA
Oxford Medical Genetics Laboratories; Oxford University Hospitals NHS Trust,Assertion criteria,26,26,21,"Jun 09, 2019",505647,United Kingdom,GBR
Genetics Laboratories; Oxford Radcliffe Hospitals NHS Trust,-,26,26,1,"Jun 10, 2011",500289,United Kingdom,GBR
"Bioinformatics dept.; Datar Cancer Genetics Limited, India",Assertion criteria,25,25,10,"Jul 26, 2017",505785,India,IND
GenomeConnect - CFC International,-,25,0,10,"Oct 01, 2019",507204,United States,USA
Constantin Polychronakos Laboratory; The Research Institute of the McGill University Health Centre,-,25,25,9,"Jul 10, 2020",507453,Canada,CAN
Center for Medical Genetics and Molecular Medicine; Haukeland University Hospital,Assertion criteria,25,25,8,"Oct 12, 2018",506087,Norway,NOR
Cardiovascular Biomarker Research Laboratory; Mayo Clinic,Assertion criteria,25,25,2,"Sep 16, 2016",505718,United States,USA
Harvard Reproductive Endocrine Science Center; Massachusetts General Hospital,-,25,25,1,"Nov 08, 2016",278763,United States,USA
Molecular Medicine; University of Leeds,Assertion criteria,25,25,2,"Apr 28, 2020",506394,United Kingdom,GBR
Neurogenetics Research Program; University of Adelaide,Assertion criteria,25,25,8,"Apr 19, 2020",506129,Australia,AUS
Hubei Clinical and Research Center of Thrombosis and Hemostasis; Union Hospital,-,24,4,3,"Sep 12, 2014",500119,China,CHN
Institute for Integrative and Experimental Genomics; University of Luebeck,Assertion criteria,24,24,5,"Mar 03, 2015",505401,United States,USA
MVZ Praenatalmedizin und Genetik Nuernberg,-,24,24,12,"Nov 25, 2019",505997,Germany,DEU
Godley laboratory; The University of Chicago,Assertion criteria,24,24,13,"Aug 12, 2020",507524,United States,USA
HLA Laboratory; Instituto Nacional de Enfermedades Respiratorias Ismael Cosio Villegas,-,24,24,8,"Jul 08, 2020",507267,Mexico,MEX
GeneID Lab - Advanced Molecular Diagnostics,Assertion criteria,24,24,19,"Jul 16, 2018",506582,United States,USA
Human Genomics Unit; Institute for Molecular Medicine Finland (FIMM),-,24,24,13,"Aug 23, 2018",506280,Finland,FIN
The Center for Liver Diseases; Children's Hospital of Fudan University,Assertion criteria,24,24,2,"Nov 04, 2019",507193,China,CHN
"Institute of Human Genetics Greifswald, Research Division; University Medicine Greifswald",Assertion criteria,24,4,4,"May 03, 2018",506218,Germany,DEU
Molecular Genetics laboratory; Necker Hospital,-,24,24,1,"May 25, 2020",507504,France,FRA
UMR-S1161; Institut national de la santé et de la recherche médicale,-,23,23,2,"Mar 27, 2017",506147,France,FRA
The Molecular Genetic and Pathologic Diagnosis Center of Neuromuscular Disorder; Children's Hospital of Fudan University,Assertion criteria,23,23,13,"Mar 06, 2020",507338,China,CHN
Gray Institute for Radiation Oncology & Biology; University of Oxford,-,23,23,1,"Aug 15, 2013",500134,United Kingdom,GBR
Center for Human Disease Modeling; Duke University Medical Center,-,23,23,167,"Mar 10, 2019",505664,United States,USA
Neurogenetics Research; Murdoch Childrens Research Institute,Assertion criteria,23,23,7,"Feb 23, 2019",500113,Australia,AUS
Pathology and Clinical Laboratory Medicine; King Fahad Medical City,Assertion criteria,23,23,22,"Jun 18, 2019",506801,Saudi Arabia,SAU
Unidad de Diagnostico y Tratamiento de Errores Congenitos del Metabolismo,-,23,23,17,"Feb 25, 2014",504796,Chile,CHL
TPM2 homepage - Leiden Muscular Dystrophy pages,-,23,0,1,"Apr 02, 2012",504734,Netherlands,NLD
Pittsburgh Clinical Genomics Laboratory; University of Pittsburgh Medical Center,Assertion criteria,23,23,5,"Mar 09, 2020",507465,United States,USA
Laboratory of Human Genetics; Universidade de São Paulo,Assertion criteria,23,23,36,"Sep 15, 2020",505505,Brazil,BRA
Leeds Amelogenesis Imperfecta Research Group; University of Leeds,Assertion criteria,22,22,11,"Jun 12, 2020",505736,United Kingdom,GBR
Institute of Molecular Biology and Genetics; Federal Almazov North-West Medical Research Centre,Assertion criteria,22,22,16,"May 23, 2018",505805,Russian Federation,RUS
Shen Lab; Columbia University Medical Center,-,22,22,23,"Mar 23, 2020",507466,United States,USA
Leiden Muscular Dystrophy pages (MYL2),-,22,0,2,"Mar 28, 2012",500015,Netherlands,NLD
Embryology Laboratory; Victor Chang Cardiac Research Institute,Assertion criteria,22,22,10,"Jun 01, 2020",506115,Australia,AUS
Klinisk genetik och genomik Research; Gothenburg University,Assertion criteria,22,22,17,"Nov 21, 2019",507077,Sweden,SWE
Yang An-Suei Laboratory; Academia Sinica,Assertion criteria,22,22,8,"Jul 06, 2017",506205,"Taiwan, Province of China",TWN
Reparto di Fisiopatologia delle Malattie Genetiche; Istituto Superiore di Sanità,-,22,22,4,"Mar 12, 2015",504988,Italy,ITA
Shaikh laboratory; University of Colorado,Assertion criteria,22,22,37,"Mar 09, 2017",505273,United States,USA
Hehr Laboratory; Center for Human Genetics - University of Regensburg,-,22,22,19,"Jan 30, 2017",226585,Germany,DEU
Institute of Molecular Pathology and Immunology of the University of Porto; University of Porto,-,22,0,8,"Mar 24, 2014",504828,Portugal,PRT
Dr. Guy Rouleau's laboratory; McGill University,Assertion criteria,22,22,25,"Jun 16, 2015",505441,Canada,CAN
Molecular Oncology Laboratory; Hospital Clínico San Carlos,-,22,22,7,"Oct 17, 2018",506195,Spain,ESP
Instituto de Investigación Sanitaria; Pfizer-University of Granada-Junta de Andalucia Centre for Genomics and Oncological Research,Assertion criteria,22,22,13,"Feb 24, 2020",505200,Spain,ESP
Genetic Diagnostic Laboratory; University of Szeged,Assertion criteria,21,21,9,"Apr 08, 2019",505693,Hungary,HUN
Tulane Cancer Center; Tulane University,Assertion criteria,21,21,1,"Dec 04, 2015",505442,United States,USA
Core Molecular Diagnostic Lab; McGill University Health Centre,Assertion criteria,21,21,14,"Sep 04, 2019",506763,Canada,CAN
Klein lab; Ludwig-Maximilians-University,Assertion criteria,21,21,6,"Feb 19, 2019",505271,Germany,DEU
National Institute of Mental Health and Neurosciences; National Institute of Mental Health and Neuro Sciences,Assertion criteria,21,21,2,"Jan 14, 2019",505434,India,IND
International Peace Maternity and Child Health Hospital; Shanghai Jiao Tong University School of Medicine,Assertion criteria,20,20,90,"Mar 04, 2020",505826,China,CHN
Paediatric Orthopaedics Research Lab; Christian Medical College,Assertion criteria,20,20,10,"Jun 10, 2019",506988,India,IND
Medical Biology Lab; Gaziantep University,-,20,0,6,"May 05, 2014",500117,Turkey,TUR
SN ONGC Dept of Genetics and Molecular biology; Vision Research Foundation,-,20,11,11,"Feb 28, 2013",500164,India,IND
CeMIA,-,20,0,17,"Feb 28, 2020",507447,Greece,GRC
Codex Genetics Limited,-,20,20,14,"Jul 02, 2019",506874,Hong Kong,HKG
James Howe Lab; University of Iowa Hospital and Clinics,-,20,3,18,"Nov 02, 2014",505262,United States,USA
Cytogenetics Laboratory; Banaras Hindu University,-,20,20,3,"Aug 04, 2018",505564,India,IND
Dept of Medicine and Surgery; University of Milano-Bicocca,-,19,19,6,"Mar 09, 2020",505586,United States,USA
AG Reprogenetics; University of Münster,Assertion criteria,19,19,11,"May 19, 2020",506832,Germany,DEU
Felix Claverie-Martin Laboratory; Hospital Universitario Nuestra Senora de Candelaria,-,19,19,7,"Aug 07, 2020",506704,Philippines,PHL
Children's Cancer Therapy Development Institute,-,19,1,20,"Dec 13, 2019",507352,United States,USA
Institute of Biochemistry and Experimental Oncology,-,19,0,1,"Oct 26, 2010",500200,Czechia,CZE
Genetic Diseases Diagnostic Center; Koc University Hospital,-,19,19,12,"Dec 28, 2018",506831,Turkey,TUR
Familial Cancer Clinic,-,19,19,1,"Dec 21, 2010",500224,Italy,ITA
Lee Lab(KAT6B); Baylor College of Medicine,-,19,0,2,"Feb 02, 2012",505189,United States,USA
Institute of Medical Molecular Genetics; University of Zurich,-,19,19,12,"Mar 17, 2020",300471,Switzerland,CHE
Consultorio y Laboratorio de Neurogenética; Hospital JM Ramos Mejia,Assertion criteria,18,18,12,"Sep 15, 2020",506631,Argentina,ARG
Center for Precision Medicine; Vanderbilt University Medical Center,Assertion criteria,18,18,17,"Jun 14, 2018",506545,United States,USA
GenomeConnect - CureCADASIL,-,18,0,1,"Oct 01, 2019",507207,United States,USA
GenomeConnect - GM1,-,18,0,5,"Apr 22, 2020",507208,United States,USA
Laboratory of Cell Biology; Institute of Biomedical Sciences Abel Salazar University of Porto,Assertion criteria,18,18,12,"Jun 13, 2019",505199,Portugal,PRT
Division of Medical Genetics; Sainte-Justine Hospital,-,18,18,1,"Dec 22, 2014",506044,Canada,CAN
Center for Advanced Diagnostics; Brigham And Women's Hospital,Assertion criteria,17,17,64,"May 03, 2020",507345,United States,USA
Stankiewicz Research Laboratory; Baylor College of Medicine,-,17,17,3,"Oct 03, 2019",507221,United States,USA
"Department of Genetics, Reproduction and Fetal Medicine.; Institute of Biomedicine of Seville (IBIS), University Hospital Virgen del Rocío/CSIC/University of Seville.",-,17,17,18,"Apr 30, 2015",505435,United States,USA
Centre de recherche Saint Antoine; Institut national de la santé et de la recherche médicale,Assertion criteria,17,16,5,"Aug 29, 2016",504835,France,FRA
"Human Genome and Stem Cell Research Center; Department of Genetics and Evolutionary Biology, Institute of Biosciences, University of São Paulo",-,17,17,114,"Dec 06, 2014",505725,United States,USA
Department of Pediatrics and Neonatology; Nagoya City University Graduate School of Medical Sciences,Assertion criteria,17,17,7,"Mar 24, 2020",505727,Japan,JPN
Tehran Medical Genetics Laboratory,Assertion criteria,17,17,17,"Dec 20, 2018",506617,"Iran, Islamic Republic of",IRN
Hereditary Hearing Loss Research Unit; University of Madras,Assertion criteria,17,17,16,"Jul 17, 2020",505964,India,IND
Cancer Molecular Diagnostics Core; Tianjin Medical University Cancer Institute and Hospital,Assertion criteria,17,17,4,"Apr 24, 2018",506586,China,CHN
Laboratory of Medical Genetics; University of Torino,Assertion criteria,17,17,3,"Nov 30, 2018",506722,Italy,ITA
GeniaGeo; Laboratorio Genia,Assertion criteria,17,17,8,"Oct 30, 2019",506365,Uruguay,URY
Department of Ophthalmology; Flinders University,-,17,17,12,"Aug 02, 2016",505878,Australia,AUS
TPM3 homepage - Leiden Muscular Dystrophy pages,-,17,0,1,"Mar 21, 2012",504741,Netherlands,NLD
ISCA site 11,-,17,17,1114,"Jun 21, 2014",505287,United States,USA
Department of Immunology; Hospital Universitario Virgen del Rocio,-,17,17,5,"Jun 27, 2017",505967,Spain,ESP
ISCA site 10,-,17,17,447,"Feb 04, 2019",505286,United States,USA
School of Biology,-,16,16,2,"Mar 26, 2012",500219,"Iran, Islamic Republic of",IRN
"Metabolic Liver Diseases Lab; Fondazione IRCCS Ca Granda Policlinico, University of Milan",-,16,16,3,"Mar 14, 2019",505970,Italy,ITA
Laboratory of Pediatric Immunoinfectivology; Tor Vergata University,-,16,16,9,"Feb 28, 2019",506913,Italy,ITA
Hacettepe Genetic Diseases Diagnosis Center; Hacettepe University Faculty of Medicine,Assertion criteria,16,16,16,"Jun 24, 2020",506576,Turkey,TUR
Institute of Human Genetics; University Hospital Jena,-,16,16,1,"Jul 09, 2020",320106,Germany,DEU
Institute of Genomics; University of Tartu,Assertion criteria,16,16,2,"Aug 14, 2020",507529,Estonia,EST
Strand Center for Genomics and Personalized Medicine; Strand Life Sciences Private Limited,Assertion criteria,16,16,14,"Nov 05, 2015",500136,India,IND
Human Genetics Disease in Children – Taif University; Taif University,-,16,16,4,"Jun 26, 2016",505723,Saudi Arabia,SAU
Institute of Reproductive and Stem Cell Engineering; Central South University,Assertion criteria,16,16,12,"Jun 12, 2020",506234,China,CHN
Centre for Genetic Disorders; Banaras Hindu University,-,15,12,6,"Mar 14, 2019",504834,India,IND
Department of Internal Medicine; University of Texas Health Science Center at Houston,Assertion criteria,15,15,3,"Sep 16, 2015",505537,United States,USA
Neurogenetics Laboratory; Royal Perth Hospital,-,15,15,2,"Feb 25, 2014",505205,Australia,AUS
Department of Genetics; Robert DEBRE University Hospital,-,15,15,2,"May 02, 2014",504856,France,FRA
Huiwen; Xinhua Hospital,-,15,15,2,"May 15, 2014",500243,China,CHN
Hospital for Sick Children,-,15,0,1,"Apr 23, 2016",505777,Canada,CAN
Istituto Neurologico Mediterraneo; Istituto di Ricovero e Cura a Carattere Scientifico,Assertion criteria,15,15,14,"Aug 27, 2020",507115,Italy,ITA
Genetics Laboratory - UDIAT Centre Diagnòstic; Hospital Universitari Parc Tauli,Assertion criteria,15,15,13,"Jul 16, 2019",507102,Spain,ESP
Deafness Gene Diagnosis; Xijing Hospital,-,15,15,2,"Dec 19, 2014",505334,China,CHN
Fondazione Telethon; Telethon Institute of Genetics and Medicine,-,15,15,1,"Mar 25, 2020",507498,Italy,ITA
Institute of Human Genetics; University Hospital Ulm,-,15,15,12,"Apr 08, 2020",320388,Germany,DEU
Molecular Genetics Laboratory; Baylor College of Medicine,Assertion criteria,15,15,11,"Jun 05, 2014",504888,United States,USA
Pediatric Oncology; Johns Hopkins University,-,15,15,14,"Aug 14, 2020",507408,United States,USA
Whole genome laboratory; Baylor College of Medicine,-,14,14,2,"Sep 23, 2014",505230,United States,USA
Institute for Genomic Medicine; Columbia University Medical Center,-,14,14,5,"Feb 27, 2020",505748,United States,USA
Institute of Medical Genetics; University of Zurich,Assertion criteria,14,14,4,"Jun 15, 2017",506173,Switzerland,CHE
The Genetics Institute; Rambam Health Care Campus,Assertion criteria,14,14,10,"Jul 08, 2020",506047,Israel,ISR
Leiden Muscular Dystrophy pages (MYL3),-,14,0,1,"Mar 21, 2012",500016,Netherlands,NLD
Centre for Arab Genomic Studies; Sheikh Hamdan Award for Medical Sciences,Assertion criteria,14,14,12,"Nov 07, 2019",506275,United Arab Emirates,ARE
RBHT Clinical Genetics and Genomics Laboratory; Royal Brompton and Harefield NHS Foundation Trust,Assertion criteria,14,14,12,"Jun 29, 2018",506166,United Kingdom,GBR
Institute of Human Genetics; Uniklinik RWTH Aachen,Assertion criteria,14,14,14,"Aug 10, 2020",505336,Germany,DEU
Centre for Translational Omics; University College London,Assertion criteria,14,14,12,"Jun 12, 2018",505378,United Kingdom,GBR
Forensic Genetics Laboratory; Harris County Institute of Forensic Sciences,-,14,14,10,"Feb 16, 2016",505688,United States,USA
Bruce Lefroy Centre; Murdoch Childrens Research Institute,Assertion criteria,14,14,11,"Apr 22, 2020",506032,United States,USA
Care4Rare-SOLVE; CHEO,Assertion criteria,14,14,7,"Nov 01, 2019",505503,Canada,CAN
"Difficult and Complicated Liver Diseases and Artificial Liver Center; Beijing You An Hospital, Capital Medical University",-,14,14,13,"Aug 07, 2019",507126,China,CHN
Central Research Laboratory; Sri Devaraj Urs Academy of Higher Education and Research,-,14,14,1,"Mar 22, 2017",506133,India,IND
"Snyder Lab, Genetics Department; Stanford University",Assertion criteria,14,14,13,"Oct 29, 2018",506211,United States,USA
State Key Laboratory of Medical Genetics and School of Life Sciences; Central South University,Assertion criteria,14,14,2,"Jul 11, 2017",504794,China,CHN
Laboratory Genomica; Gynecology and Assisted Reproduction Hospital Malinov DM,Assertion criteria,14,14,15,"May 08, 2020",505742,Bulgaria,BGR
Karsan Lab; BC Cancer Agency,-,13,13,12,"Jan 04, 2016",505644,Canada,CAN
"Department of Neurology, Guangzhou First People’s Hospital; School of Medicine, South China University of Technology",-,13,13,1,"Sep 22, 2019",507183,China,CHN
Cytogenetics and Genomics Laboratory; Medical University of South Carolina,Assertion criteria,13,13,4,"Jul 11, 2018",506619,United States,USA
Programa de Pós-Graduação em Ciências Genômicas e Biotecnologia; Universidade Católica de Brasília,Assertion criteria,13,13,13,"Jun 15, 2015",505497,Brazil,BRA
The Raphael Recanati Genetics Institute; Rabin Medical Center,-,13,13,13,"Sep 13, 2018",506717,Israel,ISR
Laboratory of Genomics; Instituto Nacional de Cardiología Ignacio Chávez,-,13,13,1,"May 14, 2014",504873,Mexico,MEX
"Academic Center for Education, Culture and Research; Motamed Cancer Institute",Assertion criteria,13,13,9,"May 26, 2019",506307,"Iran, Islamic Republic of",IRN
Laboratory of Molecular Oncology; N.N. Petrov Institute of Oncology,-,13,13,13,"Dec 27, 2018",505309,Russian Federation,RUS
"Marseille Medical Genetics, U1251; Aix Marseille University, Inserm",Assertion criteria,13,13,5,"Feb 28, 2020",506640,France,FRA
Carola Vinuesa Lab; John Curtin School of Medical Research,Assertion criteria,13,13,3,"Dec 06, 2018",506585,Australia,AUS
Schule lab; Hertie Institute for Clinical Brain Research,Assertion criteria,13,13,1,"Mar 05, 2018",506529,Germany,DEU
Department of Molecular Biophysics; University of Lodz,-,13,0,4,"Nov 24, 2014",500300,Poland,POL
Laboratoire de Génétique Moléculaire; CHU Bordeaux,Assertion criteria,13,13,2,"Mar 18, 2020",506172,France,FRA
"Department of Respiratory and Critical Care Medicine, Tongji Hospital; Tongji Medical College, Huazhong University of Science and Technology",-,13,13,12,"Jun 01, 2020",506601,China,CHN
IntelligeneCG,Assertion criteria,13,13,13,"Aug 29, 2017",505990,United States,USA
Demoulin lab; University of Louvain,Assertion criteria,13,13,1,"Jul 17, 2019",506016,Belgium,BEL
Regeneron Genetics Center; Regeneron,-,12,12,1,"Apr 18, 2019",506978,United States,USA
Pharmacogenomics Lab; Chungbuk National University,-,12,12,4,"Mar 07, 2019",506916,"Korea, Republic of",KOR
Institute for Genomic Medicine; Nationwide Children's Hospital,Assertion criteria,12,12,10,"Feb 21, 2020",506343,United States,USA
Weber Lab; Hannover Medical School,Assertion criteria,12,12,3,"May 22, 2020",505922,Germany,DEU
Department of Mental Retardation and Birth Defect Research; National Center of Neurology and Psychiatry,-,12,2,12,"Oct 09, 2014",505252,Japan,JPN
"Laboratory of Molecular Genetics,Brain Korea 21 PLUS Project for Medical Sciences; Yonsei University College of Medicine",-,12,12,6,"Sep 15, 2020",506524,"Korea, Republic of",KOR
Sema4,-,12,12,8,"Nov 28, 2018",500057,United States,USA
"Tolun Lab, Human Genetics Laboratory; Bogazici University",-,12,12,13,"Jun 10, 2019",506233,Turkey,TUR
Zuffardi lab; University of Pavia,-,12,12,35,"Oct 26, 2016",505976,Italy,ITA
TNNT1 homepage - Leiden Muscular Dystrophy pages; Leiden University Medical Center,-,12,0,2,"Mar 18, 2012",500023,Netherlands,NLD
Bristol Genetics Laboratory - North Bristol NHS Trust; Southmead Hospital - Pathology Sciences,Assertion criteria,12,12,1,"Jan 19, 2017",320095,United Kingdom,GBR
Clinical Genetics Group; University of Otago,Assertion criteria,12,12,2,"Jul 28, 2018",506341,New Zealand,NZL
DAG1 homepage - Leiden Muscular Dystrophy pages; Leiden University Medical Center,-,12,0,1,"May 13, 2011",500013,Netherlands,NLD
Heart Center,Assertion criteria,12,12,9,"Apr 08, 2019",506004,Netherlands,NLD
Gene Discovery Core-Manton Center; Boston Children's Hospital,Assertion criteria,12,12,12,"Feb 05, 2019",505675,United States,USA
Neurology Department; Peking University First Hospital,Assertion criteria,12,12,5,"Apr 24, 2020",505977,China,CHN
Pediatric Genomics Discovery Program; Yale University,Assertion criteria,12,12,7,"Feb 24, 2020",506499,United States,USA
Scripps Translational Science Institute; Scripps Health and The Scripps Research Institute,Assertion criteria,12,12,11,"Mar 31, 2017",505490,United States,USA
Clinical and Translational Genomics Laboratory; Washington University in St. Louis,Assertion criteria,12,12,5,"Aug 21, 2017",505219,United States,USA
Department of Pharmacy and Biotechnology; University of Bologna,-,12,12,9,"Jul 16, 2014",505267,Italy,ITA
CIViC knowledgebase; Washington University School of Medicine ,Assertion criteria,12,12,5,"May 02, 2019",506594,United States,USA
TGen's Center For Rare Childhood Disorders; Translational Genomics Research Institute (TGEN),Assertion criteria,11,11,7,"Nov 07, 2019",505520,United States,USA
Department of Neurology; Taipei Veterans General Hospital,Assertion criteria,11,11,2,"Apr 29, 2019",506580,"Taiwan, Province of China",TWN
EVA; EMBL-EBI,-,11,11,43,"Oct 04, 2016",505264,United Kingdom,GBR
Imagine Institut; INSERM,Assertion criteria,11,11,4,"Oct 09, 2018",505590,France,FRA
"Department of Biological Science; Sunandan Divatia School of Science, NMIMS University",Assertion criteria,11,11,11,"Mar 06, 2019",505790,India,IND
"Department of Medical Genetics; Faculty of Medicine, Istanbul University",-,11,11,8,"Jun 30, 2020",507485,Turkey,TUR
Neurogenetics; IRCCS Istituto delle Scienze Neurologiche di Bologna,-,11,11,2,"Jan 27, 2020",507423,Italy,ITA
Dash Lab; University Health Network,-,11,11,12,"Jan 20, 2019",506676,Canada,CAN
New Leaf Center,Assertion criteria,11,11,5,"Aug 27, 2020",506289,United States,USA
Osteogenesis Imperfecta Variant Database (PPIB); University of Leicester,-,11,0,2,"Feb 17, 2011",500020,United Kingdom,GBR
Unidad de Genómica Médica UC; Pontificia Universidad Católica de Chile,Assertion criteria,11,11,6,"May 22, 2019",506969,Chile,CHL
Hematology laboratory; Robert Debré Hospital,Assertion criteria,11,11,1,"Apr 12, 2019",506971,United States,USA
Centro de Genética y Biología Molecular; Universidad de San Martín de Porres,Assertion criteria,11,11,7,"Oct 23, 2018",505595,Peru,PER
Inherited Eye Disorders lab; UCL Institute of Ophthalmology,Assertion criteria,11,11,2,"Jul 02, 2020",506853,United Kingdom,GBR
Laboratoire de Genetique Biologique; CHU de Poitiers,Assertion criteria,11,11,4,"Aug 06, 2019",506207,France,FRA
Fundacion Rioja Salud; Center for Biomedical Research (CIBIR),Assertion criteria,11,11,4,"Sep 26, 2016",505743,Spain,ESP
Department of Genetics; Fundacion Jimenez Diaz University Hospital,Assertion criteria,11,11,58,"Jun 07, 2017",506078,Spain,ESP
Degerman lab; Umeå University,Assertion criteria,11,11,4,"Nov 24, 2017",506418,Sweden,SWE
